                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0797,                 4.7209,                      0,                 3.8891,                 12.634,                      0,                0.37096,                0.04132,                0.02044,                0.00522,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032937,             0.00032937,             0.00032937
                      1,                  4.085,                 4.7331,                      0,                  3.875,                 12.605,                      0,                0.37387,                0.03317,                0.01771,                0.00486,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032937,             0.00032937,             0.00032937
                      2,                 2.4495,                 1.8007,                      0,                 2.4098,                 2.6162,                      0,                0.77729,                0.15048,                0.20245,                0.05859,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065614,             0.00065614,             0.00065614
                      3,                 1.8943,                 1.3008,                      0,                 1.9763,                 1.7856,                      0,                0.88501,                0.16635,                0.31717,                0.15201,                      0,                      0,                      0,                      0,                      0,                      0,             0.00097631,             0.00097631,             0.00097631
                      4,                 1.6427,                 1.0709,                      0,                 1.8123,                 1.4356,                      0,                0.52704,                0.37046,                0.37681,                0.21334,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.4507,                0.98998,                      0,                 1.6139,                 1.2803,                      0,                0.47681,                0.38067,                0.36422,                0.25979,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.3254,                0.89184,                      0,                 1.4903,                 1.1352,                      0,                0.73475,                0.28357,                0.39279,                0.27944,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.2736,                0.86078,                      0,                 1.3752,                 1.0364,                      0,                 0.5763,                0.37556,                0.40571,                0.29579,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.2184,                0.81382,                      0,                 1.3362,                0.96732,                      0,                0.59336,                0.41628,                0.42942,                0.29611,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.1985,                0.78452,                      0,                 1.3336,                0.93321,                      0,                0.42709,                0.35713,                0.39439,                0.25747,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009307,              0.0009307,              0.0009307
